Region,Household Unique Sequential Number,2010Urban-RuralFIES,Final Weight Based on Projection (provincial projections),Survey Month,Survey Year,Psu Number,Replicate,Household Size,C101-Line Number,C03-Relationship to Household Head,C04-Sex,C05-Age as of Last Birthday,C06-Marital Status,C07-Highest Grade Completed,C08-Currently Attending School,C09-Graduate of technical/vocational course,C09a - Currently Attending Non-formal Training for Skills Development,C10-Overseas Filipino Indicator,C11-Work Indicator,C12-Job Indicator,C14-Primary Occupation,C16-Kind of Business (Primary Occupation),C17-Nature of Employment (Primary Occupation),C18-Normal Working Hours per Day,C19-Total Number of Hours Worked during the past week,C20-Want More Hours of Work,C21-Look for Additional Work,C22-First Time to Work,C23-Class of Worker (Primary Occupation),C24-Basis of Payment (Primary Occupation),C25-Basic Pay per Day (Primary Occupation),C26-Other Job Indicator,C27-Number of Jobs during the past week,C28-Total Hours Worked for all Jobs,C29-Reasons for Working More than 48 Hours during the past week,C30-Looked for Work or Tried to Establish Business during the past week,C31-First Time to Look for Work,C32-Job Search Method,C33-Number of Weeks Spent in Looking for Work,C34-Reason for not Looking for Work,C35-When Last Looked for Work,C36-Available for Work,C37-Willingness to take up work during the past week or within two weeks,C38-Previous Job Indicator,C40-Previous Occupation,C41-Did work or had a job during the past quarter,C43-Kind of Business (past quarter),"New Employment Criteria (jul 05, 2005)",,,,,,
12,27404,1,646.6294,1,19,149,45,3,2,2,2,27,2,60913,,2,2,5,1,,14,47,1,14,84,2,2,2,3,,,2,,84,11,,,,,,,,,,,2,,1,,,,,,
1,14024,2,696.7405,1,19,665,47,10,7,5,2,25,2,24010,,2,2,5,2,2,,,,,,,,,,,,,,,,2,,,,7,,,,1,91,2,,3,,,,,,
7,8263,1,528.3473,1,19,101,48,3,2,2,2,56,2,60114,,2,2,5,1,,22,84,1,8,40,2,2,2,2,3,500,2,,40,,,,,,,,,,,,1,84,1,,,,,,
1,11802,2,299.4626,1,19,465,45,5,4,6,1,38,1,10010,,2,2,5,1,,92,1,2,8,24,2,2,2,1,3,300,2,,24,20,,,,,,,,,,,2,,1,,,,,,
13,34860,1,459.5758,1,19,112,45,11,4,3,2,26,1,24020,,2,2,5,1,,52,47,1,8,48,2,2,2,1,4,537,2,,48,,,,,,,,,,,,1,47,1,,,,,,
1,24124,2,1842.8148,1,19,486,47,5,5,6,2,6,1,2000,1,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,24952,2,114.0398,1,19,54,17,5,4,3,1,8,1,10010,1,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,3364,2,34.5835,1,19,5,2,7,5,8,2,16,1,24010,1,2,2,5,2,2,,,,,,,,,,,,,,,,2,,,,8,,,,2,,,,3,,,,,,
14,38269,2,147.2958,1,19,22,13,2,2,3,1,31,1,0,,2,2,5,1,,92,1,2,8,56,1,2,2,1,3,100,2,,56,11,,,,,,,,,,,2,,1,,,,,,
1,24001,2,1911.0376,1,19,526,46,9,7,5,1,30,2,24020,,2,2,5,1,,91,81,1,8,48,2,2,2,1,3,283,2,,48,,,,,,,,,,,,1,81,1,,,,,,
8,20943,2,416.4813,1,19,334,47,9,2,2,2,39,2,10020,,2,2,5,1,,32,84,1,8,8,2,2,2,2,7,,2,,8,30,,,,,,,,,,,1,84,1,,,,,,
2,25102,2,125.2886,1,19,57,18,3,2,3,1,11,1,10010,2,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,35635,1,316.877,1,19,272,46,4,1,1,1,42,2,24020,,2,2,5,1,,93,41,1,8,48,2,2,2,1,3,500,2,,48,,,,,,,,,,,,1,41,1,,,,,,
4,7729,1,2479.4169,1,19,841,47,6,2,4,2,24,1,60111,2,2,2,5,1,,23,85,1,8,40,2,2,1,1,3,370,2,,40,,,,,,,,,,,,2,,1,,,,,,
5,7481,2,115.0204,1,19,206,4,6,6,7,2,76,3,60111,,2,2,5,2,2,,,,,,,,,,,,,,,,2,,,,6,,,,1,23,2,,3,,,,,,
4,3490,2,1645.8361,1,19,1001,46,7,4,3,2,5,1,0,1,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,28971,1,415.9797,1,19,341,45,6,6,3,1,10,1,10010,1,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,19120,2,164.8094,1,19,57,23,1,1,1,2,20,1,34012,1,2,2,5,2,2,,,,,,,,,,,,,,,,2,,,,8,,,,1,92,1,1,3,,,,,,
7,8845,1,203.3738,1,19,12,3,7,7,10,1,32,1,24020,,2,2,5,1,,91,96,1,9,54,2,2,2,0,4,154,2,,54,12,,,,,,,,,,,2,,1,,,,,,
13,34751,1,617.1,1,19,240,45,7,6,6,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,33053,1,190.6789,1,19,79,11,4,3,3,2,33,1,61013,,2,2,5,1,,32,47,1,8,40,2,2,2,1,4,537,2,,40,,,,,,,,,,,,1,47,1,,,,,,
13,32277,1,223.9239,1,19,103,2,2,1,1,1,63,3,10010,,2,2,5,2,2,,,,,,,,,,,,,,,,2,,,,6,,,,1,71,2,,3,,,,,,
11,39355,2,333.655,1,19,2,46,5,3,3,2,15,1,24010,1,2,2,5,2,2,,,,,,,,,,,,,,,,2,,,,8,,,,2,,,,3,,,,,,
13,31998,1,226.4645,1,19,232,6,1,1,1,1,48,1,24020,,2,2,5,1,,91,84,1,8,40,2,2,2,2,4,350,2,,40,,,,,,,,,,,,1,84,1,,,,,,
5,26595,2,461.8287,1,19,615,47,6,5,3,1,17,1,24020,1,2,2,5,2,2,,,,,,,,,,,,,,,,2,,,,8,,,,2,,,,3,,,,,,
