Survey Year,C04-Sex,C05-Age as of Last Birthday,C11-Work Indicator,C12-Job Indicator,C14-Primary Occupation,C16-Kind of Business (Primary Occupation),C23-Class of Worker (Primary Occupation)
2021,1,33,1,1,93,41,1
2021,2,62,7,3,,,
2021,2,3,2,1,,,
2021,1,45,1,1,61,1,3
2021,2,48,1,1,92,1,6
2021,1,37,1,1,71,41,1
2021,2,23,1,1,52,47,1
2021,1,18,7,2,,,
2021,1,16,1,1,92,1,6
2021,2,50,1,1,23,85,2
2021,2,10,7,2,,,
2021,1,21,7,2,,,
2021,2,21,7,2,,,
2021,1,9,7,2,,,
2021,2,42,1,1,91,96,0
2021,2,13,7,2,,,
2021,2,66,7,2,,,
2022,1,11,2,2,,,
2022,1,52,1,1,23,85,2
2022,1,18,2,2,,,
2022,2,24,1,1,23,85,2
2022,1,56,1,1,54,80,1
2022,2,30,2,2,,,
2022,2,51,1,1,94,56,6
2022,1,35,1,1,25,61,1
2022,2,26,2,2,,,
2022,2,2,2,1,,,
2022,1,16,2,2,,,
2022,1,39,1,1,91,35,1
2022,1,32,1,1,51,56,1
2022,1,41,1,1,83,52,1
2022,1,38,2,2,,,
2022,1,72,1,1,61,1,3
2022,1,23,1,1,92,1,1
2022,2,34,1,1,32,86,2
2022,1,30,1,1,83,49,3
2022,1,17,2,2,,,
2022,2,7,2,2,,,
2022,2,26,1,1,52,47,1
2022,2,85,2,2,,,
2022,2,10,2,2,,,
2022,1,22,1,1,61,1,3
2022,1,50,1,1,83,49,3
2022,2,46,2,1,,,
2022,2,14,2,2,,,
2022,2,42,2,3,,,
2022,1,23,1,1,83,8,1
2022,2,75,2,2,,,
2022,1,35,1,1,75,47,1
2022,2,58,1,1,52,47,3
2022,1,44,1,1,61,1,3
2022,1,41,1,1,71,41,1
2022,1,21,2,2,,,
2022,2,41,1,1,92,1,6
2022,2,11,2,2,,,
2022,1,27,1,1,92,1,6
2022,1,13,2,2,,,
2022,2,8,2,2,,,
2022,2,21,2,2,,,
2022,2,24,1,1,41,82,1
2022,2,18,2,2,,,
2022,1,54,1,1,71,45,1
2022,2,74,2,2,,,
2022,2,30,1,1,33,69,1
2022,1,50,1,1,83,49,3
2022,1,20,2,2,,,
2022,1,13,2,2,,,
2022,2,59,1,1,51,96,1
2022,2,58,2,2,,,
2022,1,58,2,2,,,
2022,2,32,2,2,,,
2022,2,40,2,2,,,
2022,2,21,2,2,,,
2022,2,64,1,1,96,84,2
2022,1,42,1,1,61,1,3
2022,1,42,1,1,14,47,3
2022,1,23,2,2,,,
2022,1,23,2,2,,,
2022,2,20,2,2,,,
2022,1,5,2,2,,,
2022,1,53,1,1,92,1,1
2022,2,12,2,2,,,
2022,1,24,1,1,91,84,2
2022,1,24,2,2,,,
2022,1,37,1,1,52,47,3
2022,2,45,1,1,52,47,1
2022,2,6,2,2,,,
2022,1,76,2,3,,,
2022,1,58,1,1,54,84,2
2022,2,13,2,2,,,
2022,1,20,1,1,93,47,6
2022,2,60,1,1,61,1,3
2022,2,24,2,2,,,
2022,2,27,2,2,,,
2022,1,29,1,1,81,45,3
2022,2,20,2,2,,,
2022,2,34,2,1,,,
2022,1,1,2,1,,,
2022,1,16,2,2,,,
2022,1,13,2,2,,,
2022,2,64,1,1,52,47,3
2022,1,11,2,2,,,
2022,2,48,1,1,22,86,2
2022,1,38,2,2,,,
2022,2,6,2,2,,,
2022,1,59,1,1,54,84,2
2022,1,28,1,1,31,41,1
2022,1,20,1,1,96,46,1
2022,1,52,1,1,11,84,2
2022,2,67,2,2,,,
2022,1,5,2,2,,,
2022,1,68,1,1,21,71,1
2022,1,65,2,2,,,
2022,1,17,2,2,,,
2022,2,51,1,1,61,1,3
2022,2,12,2,2,,,
2022,1,88,2,2,,,
2022,2,77,1,1,75,10,3
2022,1,26,1,1,82,27,1
2022,2,41,1,1,41,84,2
2022,1,8,2,2,,,
2022,1,15,2,2,,,
2022,2,39,2,3,,,
2022,2,65,1,1,14,47,3
2022,1,15,2,2,,,
2022,1,11,2,2,,,
2022,2,6,2,2,,,
2022,2,1,2,1,,,
2022,2,56,2,2,,,
2022,2,51,1,1,23,85,2
2022,2,64,2,2,,,
2022,1,19,2,2,,,
2022,1,10,2,2,,,
2022,1,63,1,1,83,49,3
2022,2,27,2,2,,,
2022,1,42,1,1,93,41,1
2022,2,43,2,2,,,
2022,2,11,2,2,,,
2022,1,31,1,1,61,1,3
2022,2,30,2,2,,,
2022,2,12,2,2,,,
2022,1,11,2,2,,,
2022,1,6,2,2,,,
2022,2,13,2,2,,,
2022,1,13,2,2,,,
2022,1,17,2,2,,,
2022,1,31,1,1,82,29,1
2022,1,53,1,1,13,52,1
2022,1,31,1,1,62,3,3
2022,1,2,2,1,,,
2022,1,22,1,1,93,41,1
2022,1,67,1,1,62,2,3
2022,1,44,2,2,,,
2022,2,37,1,1,52,47,3
2022,1,39,1,1,13,3,3
2022,1,47,2,3,,,
2022,1,32,1,1,52,47,1
2022,1,4,2,1,,,
2022,1,16,2,2,,,
2022,1,14,2,2,,,
2022,2,13,2,2,,,
2022,1,48,1,1,92,1,1
2022,1,7,2,2,,,
2022,1,13,2,2,,,
2022,2,31,1,1,52,47,3
2022,2,20,1,1,92,1,1
2022,1,60,1,1,61,1,4
2022,2,58,1,1,61,1,3
2022,2,30,2,2,,,
2022,2,13,2,2,,,
2022,1,11,2,2,,,
2022,2,33,1,1,61,1,3
2022,1,16,2,2,,,
2022,2,62,1,1,92,1,1
2022,1,17,1,1,43,47,1
2022,2,27,2,2,,,
2022,2,65,2,2,,,
2022,1,34,2,2,,,
2022,2,10,2,2,,,
2022,1,2,2,1,,,
2022,1,54,1,1,73,95,3
2022,1,28,1,1,96,53,1
2022,1,0,2,1,,,
2022,1,46,1,1,13,85,2
2022,1,23,2,3,,,
2022,1,67,1,1,93,49,3
2022,2,57,2,2,,,
2022,1,65,1,1,61,1,3
2022,1,10,2,2,,,
2022,1,15,2,2,,,
2022,1,12,2,2,,,
2022,1,71,1,1,61,1,3
2022,1,61,1,1,81,13,1
2022,1,22,2,2,,,
2022,1,39,1,1,83,49,1
2022,2,51,1,1,93,47,1
2022,1,6,2,2,,,
2022,2,16,2,2,,,
2022,2,11,2,2,,,
2022,1,60,1,1,13,49,3
2022,2,77,2,2,,,
2022,1,34,1,1,93,41,1
2022,1,22,2,2,,,
2022,1,66,1,1,93,41,1
2022,1,0,2,1,,,
2022,1,6,2,2,,,
2022,1,12,2,2,,,
2022,1,37,1,1,61,1,3
2022,2,31,1,1,94,56,1
2022,1,17,1,1,52,47,1
2022,2,36,1,1,22,86,1
2022,2,42,1,1,92,1,6
2022,2,22,2,2,,,
2022,2,57,2,2,,,
2022,1,17,1,1,81,17,1
2022,1,29,1,1,31,24,1
2022,2,55,1,1,32,86,2
2023,1,11,2,2,,,
2023,2,18,1,1,52,47,3
2023,2,31,1,1,43,10,5
2023,2,54,1,1,53,96,0
2023,1,13,2,2,,,
2023,2,67,1,1,61,1,3
2023,2,9,2,2,,,
2023,1,28,1,1,42,82,1
2023,1,26,1,1,71,41,1
2023,2,24,2,2,,,
2023,1,40,1,1,93,47,6
